[INFO] [1777033952.623277679] [motion_info_to_twist]: Published 16000 Twist messages
[INFO] [1777033962.622680783] [motion_info_to_twist]: Published 16200 Twist messages
[INFO] [1777033972.612845551] [motion_info_to_twist]: Published 16400 Twist messages
[INFO] [1777033982.623358192] [motion_info_to_twist]: Published 16600 Twist messages
[INFO] [1777033992.623773645] [motion_info_to_twist]: Published 16800 Twist messages
[INFO] [1777034002.630598648] [motion_info_to_twist]: Published 17000 Twist messages
[INFO] [1777034012.623963977] [motion_info_to_twist]: Published 17200 Twist messages
[INFO] [1777034022.624954953] [motion_info_to_twist]: Published 17400 Twist messages
[INFO] [1777034032.626492364] [motion_info_to_twist]: Published 17600 Twist messages
[INFO] [1777034042.624314534] [motion_info_to_twist]: Published 17800 Twist messages
[INFO] [1777034052.624716258] [motion_info_to_twist]: Published 18000 Twist messages
[INFO] [1777034062.625016865] [motion_info_to_twist]: Published 18200 Twist messages
[INFO] [1777034072.625148155] [motion_info_to_twist]: Published 18400 Twist messages
[INFO] [1777034082.626394359] [motion_info_to_twist]: Published 18600 Twist messages
[INFO] [1777034092.625127562] [motion_info_to_twist]: Published 18800 Twist messages
[INFO] [1777034102.658853770] [motion_info_to_twist]: Published 19000 Twist messages
[INFO] [1777034112.627291464] [motion_info_to_twist]: Published 19200 Twist messages
[INFO] [1777034122.625574626] [motion_info_to_twist]: Published 19400 Twist messages
[INFO] [1777034132.626185058] [motion_info_to_twist]: Published 19600 Twist messages
[INFO] [1777034142.627641662] [motion_info_to_twist]: Published 19800 Twist messages
[INFO] [1777034152.627464978] [motion_info_to_twist]: Published 20000 Twist messages
[INFO] [1777034162.625961904] [motion_info_to_twist]: Published 20200 Twist messages
[INFO] [1777034172.626147440] [motion_info_to_twist]: Published 20400 Twist messages
[INFO] [1777034182.627692524] [motion_info_to_twist]: Published 20600 Twist messages
[INFO] [1777034192.628116257] [motion_info_to_twist]: Published 20800 Twist messages
[INFO] [1777034202.627560124] [motion_info_to_twist]: Published 21000 Twist messages
[INFO] [1777034212.634496618] [motion_info_to_twist]: Published 21200 Twist messages
[INFO] [1777034222.627695320] [motion_info_to_twist]: Published 21400 Twist messages
[INFO] [1777034232.626024342] [motion_info_to_twist]: Published 21600 Twist messages
[INFO] [1777034242.628217974] [motion_info_to_twist]: Published 21800 Twist messages
[INFO] [1777034252.628908261] [motion_info_to_twist]: Published 22000 Twist messages
[INFO] [1777034262.628658667] [motion_info_to_twist]: Published 22200 Twist messages
[INFO] [1777034272.628778758] [motion_info_to_twist]: Published 22400 Twist messages
[INFO] [1777034282.628542757] [motion_info_to_twist]: Published 22600 Twist messages
[INFO] [1777034292.628607701] [motion_info_to_twist]: Published 22800 Twist messages
[INFO] [1777034302.629633295] [motion_info_to_twist]: Published 23000 Twist messages
[INFO] [1777034312.629631118] [motion_info_to_twist]: Published 23200 Twist messages
[INFO] [1777034322.629329351] [motion_info_to_twist]: Published 23400 Twist messages
[INFO] [1777034332.629124953] [motion_info_to_twist]: Published 23600 Twist messages
[INFO] [1777034342.630165075] [motion_info_to_twist]: Published 23800 Twist messages
[INFO] [1777034352.629670156] [motion_info_to_twist]: Published 24000 Twist messages
[INFO] [1777034362.624713446] [motion_info_to_twist]: Published 24200 Twist messages
[INFO] [1777034372.630099110] [motion_info_to_twist]: Published 24400 Twist messages
[INFO] [1777034382.630024839] [motion_info_to_twist]: Published 24600 Twist messages
[INFO] [1777034392.631725995] [motion_info_to_twist]: Published 24800 Twist messages
[INFO] [1777034402.630599868] [motion_info_to_twist]: Published 25000 Twist messages
[INFO] [1777034412.631342717] [motion_info_to_twist]: Published 25200 Twist messages
[INFO] [1777034422.630317506] [motion_info_to_twist]: Published 25400 Twist messages
[INFO] [1777034432.631076155] [motion_info_to_twist]: Published 25600 Twist messages
[INFO] [1777034442.633315336] [motion_info_to_twist]: Published 25800 Twist messages
[INFO] [1777034452.634764033] [motion_info_to_twist]: Published 26000 Twist messages
[INFO] [1777034462.630890660] [motion_info_to_twist]: Published 26200 Twist messages
[INFO] [1777034472.631368200] [motion_info_to_twist]: Published 26400 Twist messages
[INFO] [1777034482.631400739] [motion_info_to_twist]: Published 26600 Twist messages
[INFO] [1777034492.606507083] [motion_info_to_twist]: Published 26800 Twist messages
[INFO] [1777034502.632546833] [motion_info_to_twist]: Published 27000 Twist messages
[INFO] [1777034512.632114069] [motion_info_to_twist]: Published 27200 Twist messages
[INFO] [1777034522.632572447] [motion_info_to_twist]: Published 27400 Twist messages
[INFO] [1777034532.633674008] [motion_info_to_twist]: Published 27600 Twist messages
[INFO] [1777034542.632291323] [motion_info_to_twist]: Published 27800 Twist messages
[INFO] [1777034552.632680242] [motion_info_to_twist]: Published 28000 Twist messages
[INFO] [1777034562.632642772] [motion_info_to_twist]: Published 28200 Twist messages
[INFO] [1777034572.632587287] [motion_info_to_twist]: Published 28400 Twist messages
[INFO] [1777034582.632827873] [motion_info_to_twist]: Published 28600 Twist messages
[INFO] [1777034592.633276782] [motion_info_to_twist]: Published 28800 Twist messages
[INFO] [1777034602.633277350] [motion_info_to_twist]: Published 29000 Twist messages
[INFO] [1777034612.634031962] [motion_info_to_twist]: Published 29200 Twist messages
[INFO] [1777034622.617943277] [motion_info_to_twist]: Published 29400 Twist messages
[INFO] [1777034632.633588468] [motion_info_to_twist]: Published 29600 Twist messages
[INFO] [1777034642.634867782] [motion_info_to_twist]: Published 29800 Twist messages
[INFO] [1777034652.633609851] [motion_info_to_twist]: Published 30000 Twist messages
[INFO] [1777034662.634306345] [motion_info_to_twist]: Published 30200 Twist messages
[INFO] [1777034672.634370806] [motion_info_to_twist]: Published 30400 Twist messages
[INFO] [1777034682.635798123] [motion_info_to_twist]: Published 30600 Twist messages
[INFO] [1777034692.636977566] [motion_info_to_twist]: Published 30800 Twist messages
[INFO] [1777034702.633850163] [motion_info_to_twist]: Published 31000 Twist messages
[INFO] [1777034712.634341720] [motion_info_to_twist]: Published 31200 Twist messages
[INFO] [1777034722.634421160] [motion_info_to_twist]: Published 31400 Twist messages
[INFO] [1777034732.634938725] [motion_info_to_twist]: Published 31600 Twist messages
[INFO] [1777034742.635213279] [motion_info_to_twist]: Published 31800 Twist messages
[INFO] [1777034752.632273029] [motion_info_to_twist]: Published 32000 Twist messages
[INFO] [1777034762.634774780] [motion_info_to_twist]: Published 32200 Twist messages
[INFO] [1777034772.635815894] [motion_info_to_twist]: Published 32400 Twist messages
[INFO] [1777034782.635469093] [motion_info_to_twist]: Published 32600 Twist messages
[INFO] [1777034792.636278241] [motion_info_to_twist]: Published 32800 Twist messages
